Name,Latitude,Longitude
"15-27-Block M2-Sảnh B, Jamona City, Đào Trí,",10.7360325,106.7375531
British English Club,10.7332955,106.7096262
"163 đường 45,",10.7423448,106.7120433
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7451793,106.7303529
"803/23/10 Huỳnh Tấn Phát,",10.7342785,106.7324729
Mai Văn Vĩnh,10.7386125,106.7133125
"toà a1, chung cư q7 riverside complex, 04 Đào trí, phường phú thuận, quận 7, thành phố hồ chí minh,",10.7256210,106.7430565
Nhà Mẫu Phú Mỹ Hưng,10.7273616,106.7263939
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",10.7451333,106.7309591
Bia Góc,10.7368204,106.7078392
Chợ Cư xá Ngân hàng,10.7482605,106.7167158
Tịnh xá Ngọc Quy,10.7304596,106.7006992
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",10.7274320,106.7097702
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7445898,106.7303417
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",10.7150678,106.7412874
Parkson,10.7294661,106.7218830
Quán Cơm Tâm Mộc,10.7274975,106.7084534
Sunrise Cityview - Sảnh A,10.7460576,106.7015033
43 Đường Số 43,10.7428700,106.7153718
Trường Tiểu học Nguyễn Văn Hưởng,10.7186966,106.7368386
Cầu Kênh Tẻ,10.7471511,106.7022091
"26 đường số 10 kdc nam long, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",10.7439386,106.7338770
645/51E Đ. Trần Xuân Soạn,10.7505427,106.6986564
Chè Thiên Đường,10.7300264,106.7095467
Nguyễn Thị Thập,10.7382323,106.7190861
"6/57 Trần Văn Khánh,",10.7553663,106.7234126
Cà Phê Long Béo,10.7369094,106.7073344
Đại Lý Sơn Nuớc Trường Đạt,10.7393515,106.7035813
WinMart+,10.7391219,106.7091990
Quận 7,10.7375481,106.7302238
"67 Mai Văn Vĩnh,",10.7389697,106.7138205
"36A, Đường 81,",10.7402972,106.7064478
À La Main,10.7252921,106.7098322
Trạm Xe Bus Công Ty Nidec,10.7624876,106.7454257
Thiên Sơn Plaza,10.7318839,106.7191567
Mỹ Khang,10.7155836,106.7300972
Bệnh viện Quận 7,10.7373418,106.7241872
