From,To,Distance (m)
"803/23/10 Huỳnh Tấn Phát,",803/23/10 Huỳnh Tấn Phát,3.76
803/23/10 Huỳnh Tấn Phát,"803/23/10 Huỳnh Tấn Phát,",3.76
"15 Nguyen Cao,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",13.82
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","15 Nguyen Cao,",13.82
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Si Cafe,18.19
Si Cafe,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",18.19
Siêu Thị K-Market,Hà Huy Tập,25.34
Hà Huy Tập,Siêu Thị K-Market,25.34
Quán Cơm Tâm Mộc,Siêu Thị K-Market,55.02
Siêu Thị K-Market,Quán Cơm Tâm Mộc,55.02
Bia Góc,Cà Phê Long Béo,56.03
Cà Phê Long Béo,Bia Góc,56.03
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,","Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",56.95
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,","Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",56.95
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",65.56
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",65.56
Bệnh viện Quận 7,Bệnh viện Quận 7,65.96
Bệnh viện Quận 7,Bệnh viện Quận 7,65.96
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",66.42
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",66.42
Mai Văn Vĩnh,"67 Mai Văn Vĩnh,",68.25
"67 Mai Văn Vĩnh,",Mai Văn Vĩnh,68.25
Khu phức hợp La Casa,"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",68.89
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",Khu phức hợp La Casa,68.89
Quán Cơm Tâm Mộc,Hà Huy Tập,72.12
Hà Huy Tập,Quán Cơm Tâm Mộc,72.12
Quán Ăn An Ký,Si Cafe,73.02
Si Cafe,Quán Ăn An Ký,73.02
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",Khu phức hợp La Casa,73.17
Khu phức hợp La Casa,"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",73.17
Đại Lý Sơn Nuớc Trường Đạt,Katinat Nguyễn Thị Thập,76.65
Katinat Nguyễn Thị Thập,Đại Lý Sơn Nuớc Trường Đạt,76.65
43 Đường Số 43,"170A Lâm Văn Bền, KP4,",78.38
"170A Lâm Văn Bền, KP4,",43 Đường Số 43,78.38
Quán Cơm Tâm Mộc,Katinat,81.94
Katinat,Quán Cơm Tâm Mộc,81.94
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",90.56
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",90.56
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Quán Ăn An Ký,90.59
Quán Ăn An Ký,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",90.59
E50 Đường Số 9 Khu Dân Cư Him Lam,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",91.06
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,91.06
"6/57 Trần Văn Khánh,","KC 52/13 HUYNH TAN PHAT KP3,",91.36
"KC 52/13 HUYNH TAN PHAT KP3,","6/57 Trần Văn Khánh,",91.36
Hương Sen Spa,불막열삼,91.72
불막열삼,Hương Sen Spa,91.72
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",Him Lam Riverside,94.63
Him Lam Riverside,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",94.63
"Tòa Nhà Xưởng B,","Toà nhà FPT đường số 8,",97.78
"Toà nhà FPT đường số 8,","Tòa Nhà Xưởng B,",97.78
E50 Đường Số 9 Khu Dân Cư Him Lam,Him Lam Riverside,98.99
Him Lam Riverside,E50 Đường Số 9 Khu Dân Cư Him Lam,98.99
Chè Thiên Đường,Nhà Thuốc An Khang,103.24
Nhà Thuốc An Khang,Chè Thiên Đường,103.24
Nguyễn Văn Linh,Nhà Thuốc An Khang,111.26
Nhà Thuốc An Khang,Nguyễn Văn Linh,111.26
Nhà Thuốc An Khang,불막열삼,111.92
불막열삼,Nhà Thuốc An Khang,111.92
43 Đường Số 43,"78B đường số 43, khu phố 4",115.54
"78B đường số 43, khu phố 4",43 Đường Số 43,115.54
Katinat,Siêu Thị K-Market,121.16
Siêu Thị K-Market,Katinat,121.16
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Siêu Thị K-Market,126.15
Siêu Thị K-Market,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",126.15
Chè Thiên Đường,Nguyễn Văn Linh,127.61
Nguyễn Văn Linh,Chè Thiên Đường,127.61
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Katinat,129.33
Katinat,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",129.33
WinMart+,Quán Rắn Hương Phù Sa,132.83
Quán Rắn Hương Phù Sa,WinMart+,132.83
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",541 Huỳnh Tấn Phát,139.06
541 Huỳnh Tấn Phát,"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",139.06
Katinat,Si Cafe,141.72
Si Cafe,Katinat,141.72
Sunrise Cityview - Sảnh A,Cầu Kênh Tẻ,143.98
Cầu Kênh Tẻ,Sunrise Cityview - Sảnh A,143.98
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Quán Cơm Tâm Mộc,144.05
Quán Cơm Tâm Mộc,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",144.05
Siêu Thị K-Market,Si Cafe,144.23
Si Cafe,Siêu Thị K-Market,144.23
Katinat,Hà Huy Tập,144.94
Hà Huy Tập,Katinat,144.94
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Hà Huy Tập,146.27
Hà Huy Tập,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",146.27
Mai Văn Vĩnh,2/2 Đường Số 79,148.56
2/2 Đường Số 79,Mai Văn Vĩnh,148.56
"67 Mai Văn Vĩnh,",2/2 Đường Số 79,150.92
2/2 Đường Số 79,"67 Mai Văn Vĩnh,",150.92
À La Main,"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",157.18
"Riverpark Premier - Riverpark 2, Nguyễn Đức Cảnh C-16.05,",À La Main,157.18
Quán Cơm Tâm Mộc,Si Cafe,161.64
Si Cafe,Quán Cơm Tâm Mộc,161.64
Hương Sen Spa,Nhà Thuốc An Khang,162.11
Nhà Thuốc An Khang,Hương Sen Spa,162.11
Katinat,Nguyễn Văn Linh,162.71
Nguyễn Văn Linh,Katinat,162.71
Parkson,Circle K,162.93
Circle K,Parkson,162.93
Hà Huy Tập,Si Cafe,164.03
Si Cafe,Hà Huy Tập,164.03
McDonald's,Circle K,167.71
Circle K,McDonald's,167.71
Cà Phê Long Béo,Đầu bến Tân Quy,170.61
Đầu bến Tân Quy,Cà Phê Long Béo,170.61
"1041/62/10 Trần Xuân Soạn,","1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,",173.19
"1041 / 17 trần xuân soạn, phường tân hưng, quận 7, thành phố hồ chí minh,","1041/62/10 Trần Xuân Soạn,",173.19
Hương Sen Spa,Nguyễn Văn Linh,178.0
Nguyễn Văn Linh,Hương Sen Spa,178.0
"78B đường số 43, khu phố 4","170A Lâm Văn Bền, KP4,",178.86
"170A Lâm Văn Bền, KP4,","78B đường số 43, khu phố 4",178.86
Nguyễn Văn Linh,불막열삼,184.99
불막열삼,Nguyễn Văn Linh,184.99
Katinat,Quán Ăn An Ký,188.18
Quán Ăn An Ký,Katinat,188.18
Trung Tâm Mua Sắm Vivo City,"1489 Nguyễn Văn Linh, Tòa IPC",188.19
"1489 Nguyễn Văn Linh, Tòa IPC",Trung Tâm Mua Sắm Vivo City,188.19
