From,To,Distance (m),Travel Time (1-10),Traffic Density
"803/23/10 Huỳnh Tấn Phát,",803/23/10 Huỳnh Tấn Phát,3.76,1,low
803/23/10 Huỳnh Tấn Phát,"803/23/10 Huỳnh Tấn Phát,",3.76,1,low
"15 Nguyen Cao,","Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,",13.82,1,medium
"Số nhà 15 Nguyễn Cao, Toà nhà Chung cư Hapy Valley,","15 Nguyen Cao,",13.82,1,low
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Si Cafe,18.19,1,low
Si Cafe,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",18.19,1,high
Siêu Thị K-Market,Hà Huy Tập,25.34,1,low
Hà Huy Tập,Siêu Thị K-Market,25.34,1,medium
Quán Cơm Tâm Mộc,Siêu Thị K-Market,55.02,1,low
Siêu Thị K-Market,Quán Cơm Tâm Mộc,55.02,1,high
Bia Góc,Cà Phê Long Béo,56.03,1,low
Cà Phê Long Béo,Bia Góc,56.03,1,medium
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,","Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",56.95,1,low
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,","Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",56.95,1,medium
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",65.56,1,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",65.56,1,low
Bệnh viện Quận 7,Bệnh viện Quận 7,65.96,1,high
Bệnh viện Quận 7,Bệnh viện Quận 7,65.96,1,medium
"487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",66.42,1,medium
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","487/23 huỳnh tấn phát, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",66.42,1,low
Mai Văn Vĩnh,"67 Mai Văn Vĩnh,",68.25,1,high
"67 Mai Văn Vĩnh,",Mai Văn Vĩnh,68.25,1,low
Khu phức hợp La Casa,"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",68.89,1,low
"Chung cư River Panorama (tháp 2) đường Lê Thị Chợ,",Khu phức hợp La Casa,68.89,1,low
Quán Cơm Tâm Mộc,Hà Huy Tập,72.12,1,medium
Hà Huy Tập,Quán Cơm Tâm Mộc,72.12,1,high
Quán Ăn An Ký,Si Cafe,73.02,1,low
Si Cafe,Quán Ăn An Ký,73.02,1,low
"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",Khu phức hợp La Casa,73.17,1,medium
Khu phức hợp La Casa,"Chung cư River panorama số 26 đường lê thị chợ, Quận 7,",73.17,1,low
Đại Lý Sơn Nuớc Trường Đạt,Katinat Nguyễn Thị Thập,76.65,1,low
Katinat Nguyễn Thị Thập,Đại Lý Sơn Nuớc Trường Đạt,76.65,1,low
43 Đường Số 43,"170A Lâm Văn Bền, KP4,",78.38,1,low
"170A Lâm Văn Bền, KP4,",43 Đường Số 43,78.38,1,high
Quán Cơm Tâm Mộc,Katinat,81.94,1,low
Katinat,Quán Cơm Tâm Mộc,81.94,1,medium
"Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,","9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,",90.56,1,medium
"9/1 trần trọng cung, phường tân thuận Đông, quận 7, thành phố hồ chí minh,","Hẻm 43B/2  Võ Thị Nhờ, phường Tân Thuận Đông, Q7,",90.56,1,medium
"Chung cư mỹ cảnh, đường Phạm Thái Bường,",Quán Ăn An Ký,90.59,1,medium
Quán Ăn An Ký,"Chung cư mỹ cảnh, đường Phạm Thái Bường,",90.59,1,low
E50 Đường Số 9 Khu Dân Cư Him Lam,"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",91.06,1,low
"block e, khu chung cư himlam riverside, phường tân hưng, quận 7, phường tân hưng, quận 7, thành phố hồ chí minh,",E50 Đường Số 9 Khu Dân Cư Him Lam,91.06,1,high
"6/57 Trần Văn Khánh,","KC 52/13 HUYNH TAN PHAT KP3,",91.36,1,low
"KC 52/13 HUYNH TAN PHAT KP3,","6/57 Trần Văn Khánh,",91.36,1,high
Hương Sen Spa,불막열삼,91.72,1,low
불막열삼,Hương Sen Spa,91.72,1,low
